temperature,ph_level,moisture,risk_score,risk_class
37.13,4.47,12.13,0,Low
39.75,7.96,83.99,4,High
38.53,6.82,67.07,3,Medium
38.01,8.08,74.22,4,High
38.48,5.86,77.55,2,Medium
38.7,6.69,72.97,3,Medium
36.87,5.08,47.21,0,Low
38.14,8.18,92.44,5,High
36.61,3.88,61.92,1,Low
37.62,4.98,57.34,1,Low
37.88,6.33,71.19,2,Medium
38.43,8.12,85.12,5,High
38.85,9.13,88.44,6,High
38.11,7.93,91.68,4,High
39.03,9.03,95.13,6,High
38.86,9.5,86.12,6,High
37.29,8.66,78.19,3,Medium
36.94,6.38,26.43,0,Low
38.62,7.02,98.48,4,High
38.27,8.69,66.47,4,High
37.96,7.59,64.33,2,Medium
38.43,7.1,49.55,1,Low
37.35,5.28,35.85,0,Low
38.91,8.64,79.13,5,High
39.06,8.14,94.57,6,High
38.08,7.67,74.87,3,Medium
37.85,6.13,69.28,2,Medium
38.83,7.67,86.06,5,High
37.71,7.19,75.23,2,Medium
38.61,7.6,60.66,3,Medium
37.86,6.44,58.62,1,Low
36.36,4.53,41.21,0,Low
36.7,6.73,47.05,0,Low
37.9,7.01,74.35,2,Medium
38.39,8.72,91.66,5,High
36.99,5.89,34.71,0,High
37.86,7.44,98.38,3,Medium
38.23,8.34,85.82,5,High
36.97,4.19,34.14,0,Low
38.38,7.79,63.35,2,Medium
36.21,6.28,31.39,0,Low
38.51,9.41,94.73,6,High
38.59,8.67,98.42,6,Low
38.28,6.91,57.06,1,Low
36.72,5.85,64.39,0,Low
39.07,8.65,84.67,5,Medium
37.49,5.8,73.34,1,Low
39.31,8.53,91.94,6,High
38.87,8.45,84.19,5,High
39.3,7.8,90.41,5,High
38.58,7.53,100.0,5,High
36.87,6.38,42.73,0,Low
37.5,6.62,72.55,2,Medium
38.09,7.47,68.86,2,Medium
38.02,7.02,60.91,1,Low
36.53,4.57,35.68,0,Low
37.77,5.63,63.02,1,Low
36.87,5.39,53.12,0,Low
39.1,7.67,85.04,5,High
38.19,8.84,95.51,5,High
38.92,8.67,75.91,5,High
39.01,8.58,93.04,6,High
37.15,6.23,75.65,1,Low
38.08,7.61,84.21,3,Medium
37.22,5.66,61.78,0,Low
36.01,4.92,57.7,0,Low
38.78,8.81,86.65,6,High
38.48,6.56,81.04,2,Medium
36.43,5.34,48.85,0,Low
37.63,6.83,69.38,2,Medium
38.28,8.81,93.73,5,High
37.2,6.56,57.02,0,Low
37.94,5.47,51.56,1,Low
36.14,4.96,52.39,0,Low
38.63,9.11,81.4,5,High
37.66,7.24,80.97,2,Medium
37.05,4.19,58.36,0,Low
36.73,5.18,50.82,0,Low
37.48,5.72,78.72,1,Low
39.59,8.17,78.76,5,High
38.68,8.41,84.82,5,High
37.46,6.53,71.07,1,Low
36.77,6.13,39.11,0,Low
37.25,8.18,87.5,4,High
